,1. Ident,2. Type,3. Destination,4. Departure,5. Est Arrival,6. Arrval
0,UAL1123,B738,San Diego Intl,Thu 08:03AM PDT,Thu 09:07AM PDT,
1,ACA780,A320,Montreal-Trudeau,Thu 08:02AM PDT,Thu 03:46PM EDT,
2,ASA1174,A319,Newark Liberty Intl,Thu 08:01AM PDT,Thu 03:46PM EDT,
3,DAL2359,B738,Los Angeles Intl,Thu 07:55AM PDT,Thu 08:46AM PDT,
4,BXR1450,C208,Sacramento Mather,Thu 07:55AM PDT,Thu 08:25AM PDT,
5,ASA1254,A320,Indianapolis Intl,Thu 07:54AM PDT,Thu 02:36PM EDT,
6,AAL2213,A321,Dallas-Fort Worth Intl,Thu 07:51AM PDT,Thu 12:51PM CDT,
7,DAL1581,B739,Minneapolis/St Paul Intl,Thu 07:49AM PDT,Thu 12:52PM CDT,
8,UAL1106,B738,John Wayne,Thu 07:46AM PDT,Thu 08:48AM PDT,
9,ASA1300,A320,Orlando Intl,Thu 07:45AM PDT,Thu 03:22PM EDT,
10,ASA1099,A320,Los Angeles Intl,Thu 07:45AM PDT,Thu 08:38AM PDT,
11,ASA238,B738,McCarran Intl,Thu 07:39AM PDT,Thu 08:45AM PDT,
12,SKW5766,CRJ2,Redding Muni,Thu 07:39AM PDT,Thu 08:14AM PDT,
13,UAL261,B752,Los Angeles Intl,Thu 07:38AM PDT,Thu 08:30AM PDT,
14,UAL577,B752,Newark Liberty Intl,Thu 07:38AM PDT,Thu 03:30PM EDT,
15,SWA1566,B737,John Wayne,Thu 07:37AM PDT,Thu 08:35AM PDT,
16,UAL1719,B738,Los Angeles Intl,Thu 07:35AM PDT,Thu 08:30AM PDT,
17,SKW5396,CRJ,Sacramento Intl,Thu 07:32AM PDT,Thu 07:56AM PDT,Thu 07:56AM PDT
18,UAL400,B739,Washington Dulles Intl,Thu 07:30AM PDT,Thu 03:06PM EDT,
19,SKW5920,CRJ2,Bob Hope,Thu 07:28AM PDT,Thu 08:12AM PDT,
20,AAL819,A321,Charlotte/Douglas Intl,Thu 07:27AM PDT,Thu 02:44PM EDT,
21,ACA758,A320,Toronto Pearson Int'l,Thu 07:25AM PDT,Thu 02:34PM EDT,
22,ASA1012,A320,John F Kennedy Intl,Thu 07:23AM PDT,Thu 03:16PM EDT,
23,ASA389,B739,Portland Intl,Thu 07:21AM PDT,Thu 08:53AM PDT,
24,DAL854,B739,Detroit Metro Wayne Co,Thu 07:20AM PDT,Thu 02:19PM EDT,
25,CPZ6018,E75L,Los Angeles Intl,Thu 07:17AM PDT,Thu 08:13AM PDT,
26,JBU16,A321,John F Kennedy Intl,Thu 07:17AM PDT,Thu 03:15PM EDT,
27,UAL205,B739,Portland Intl,Thu 07:16AM PDT,Thu 08:48AM PDT,
28,CPZ5750,E75S,Seattle-Tacoma Intl,Thu 07:14AM PDT,Thu 09:05AM PDT,
29,ASA312,B739,Seattle-Tacoma Intl,Thu 07:11AM PDT,Thu 09:05AM PDT,
30,UAL616,B739,Chicago O'Hare Intl,Thu 07:09AM PDT,Thu 12:51PM CDT,
31,ACA567,A320,Vancouver Int'l,Thu 07:07AM PDT,Thu 09:03AM PDT,
32,UAL1668,B752,Denver Intl,Thu 07:04AM PDT,Thu 10:06AM MDT,
33,SWA1771,B737,San Diego Intl,Thu 07:04AM PDT,Thu 08:10AM PDT,
34,DAL1210,B752,Hartsfield-Jackson Intl,Thu 07:02AM PDT,Thu 02:00PM EDT,
35,UAL993,B738,Seattle-Tacoma Intl,Thu 07:00AM PDT,Thu 08:36AM PDT,
36,DAL1847,B753,Minneapolis/St Paul Intl,Thu 07:00AM PDT,Thu 12:07PM CDT,
37,TAI565,A320,El Salvador Int'l,Thu 06:58AM PDT,Thu 12:53PM CST,
38,SWA1926,B737,Phoenix Sky Harbor Intl,Thu 06:54AM PDT,Thu 08:18AM MST,
39,SWA1482,B738,Portland Intl,Thu 06:52AM PDT,Thu 08:18AM PDT,
40,AAL1976,A321,Philadelphia Intl,Thu 06:50AM PDT,Thu 02:34PM EDT,
41,AAL776,A321,Charlotte/Douglas Intl,Thu 06:49AM PDT,Thu 02:07PM EDT,
42,ASA1741,A320,Seattle-Tacoma Intl,Thu 06:47AM PDT,Thu 08:29AM PDT,
43,SKW3450,E75L,John Wayne,Thu 06:46AM PDT,Thu 07:53AM PDT,Thu 07:49AM PDT
44,SWA1747,B737,McCarran Intl,Thu 06:44AM PDT,Thu 07:51AM PDT,Thu 07:51AM PDT
45,DAL1859,B752,John F Kennedy Intl,Thu 06:38AM PDT,Thu 02:27PM EDT,
46,UAL368,B739,Phoenix Sky Harbor Intl,Thu 06:38AM PDT,Thu 07:58AM MST,Thu 07:48AM MST
47,DAL2370,B738,Los Angeles Intl,Thu 06:36AM PDT,Thu 07:34AM PDT,Thu 07:34AM PDT
48,ASA1710,A320,Dallas Love Field,Thu 06:34AM PDT,Thu 11:36AM CDT,
49,SWA762,B738,Dallas Love Field,Thu 06:31AM PDT,Thu 11:24AM CDT,
50,OPS4,,San Francisco Intl,Thu 06:30AM PDT,Thu 06:32AM PDT,Thu 06:32AM PDT
51,UAL2396,B752,Boston Logan Intl,Thu 06:30AM PDT,Thu 02:36PM EDT,
52,UAL2236,B739,McCarran Intl,Thu 06:29AM PDT,Thu 07:30AM PDT,Thu 07:20AM PDT
53,UAL1733,B752,Newark Liberty Intl,Thu 06:20AM PDT,Thu 02:12PM EDT,
54,AAL1454,A321,Dallas-Fort Worth Intl,Thu 06:20AM PDT,Thu 11:15AM CDT,
55,AAL649,A321,Phoenix Sky Harbor Intl,Thu 06:18AM PDT,Thu 07:44AM MST,Thu 07:44AM MST
56,JBU735,A320,Daugherty Field,Thu 06:17AM PDT,Thu 07:12AM PDT,Thu 07:12AM PDT
57,DAL2520,B739,Salt Lake City Intl,Thu 06:16AM PDT,Thu 08:40AM MDT,Thu 08:40AM MDT
58,ASA1890,A319,Los Angeles Intl,Thu 06:15AM PDT,Thu 07:12AM PDT,Thu 07:12AM PDT
59,ASA1950,A320,San Diego Intl,Thu 06:13AM PDT,Thu 07:17AM PDT,Thu 07:17AM PDT
60,ASA1801,A320,Portland Intl,Thu 06:07AM PDT,Thu 07:31AM PDT,Thu 07:31AM PDT
61,UAL734,B739,Chicago O'Hare Intl,Thu 06:06AM PDT,Thu 11:50AM CDT,
62,SWA2040,B737,Austin-Bergstrom Intl,Thu 06:05AM PDT,Thu 10:59AM CDT,
63,SWA1963,B738,Denver Intl,Thu 05:57AM PDT,Thu 08:59AM MDT,Thu 08:59AM MDT
64,CPZ6017,E75L,Los Angeles Intl,Thu 05:56AM PDT,Thu 06:51AM PDT,Thu 06:51AM PDT
65,SWA1245,B737,Los Angeles Intl,Thu 05:39AM PDT,Thu 06:30AM PDT,Thu 06:30AM PDT
66,UAL2405,B739,Houston Bush Int'ctl,Thu 05:29AM PDT,Thu 10:49AM CDT,
67,SWA1403,B737,Chicago Midway Intl,Thu 05:20AM PDT,Thu 10:48AM CDT,
68,UAL756,B752,Denver Intl,Thu 05:10AM PDT,Thu 08:08AM MDT,Thu 07:58AM MDT
69,KAL214,B748,Incheon Int'l,Thu 04:12AM PDT,Fri 07:52AM KST,
70,TAI561,A319,El Salvador Int'l,Thu 01:51AM PDT,Thu 07:47AM CST,Thu 07:44AM CST
71,CAL3,B77W,Taiwan Taoyuan Int'l,Thu 01:51AM PDT,Fri 06:02AM CST,
72,CMP383,B738,Tocumen Int'l,Thu 01:45AM PDT,Thu 10:21AM EST,
73,UAL1200,B739,Houston Bush Int'ctl,Thu 01:25AM PDT,Thu 06:34AM CDT,Thu 06:24AM CDT
74,SIA1,B77W,Hong Kong Int'l,Thu 01:23AM PDT,Fri 06:14AM HKT,
75,EVA27,B77W,Taiwan Taoyuan Int'l,Thu 01:22AM PDT,Fri 05:17AM CST,
76,PAL105,B77W,Manila Int'l,Thu 01:20AM PDT,Fri 06:15AM +08,
77,UAL9,B788,Chengdu Shuangliu Int'l,Thu 01:17AM PDT,Fri 05:41AM CST,
