,1. Ident,2. Type,3. Destination,4. Departure,5. Est Arrival,6. Arrval
63,VRD1222,A320,Austin-Bergstrom Intl,Thu 05:28PM PDT,Thu 10:15PM CDT,
64,UAE226,A388,Dubai Int'l,Thu 05:24PM PDT,Fri 07:22PM +04,
65,WJA1509,B738,Calgary Int'l,Thu 05:21PM PDT,Thu 08:28PM MDT,Thu 06:21PM MDT
66,WJA1509,B738,Calgary Int'l,Thu 05:21PM PDT,Thu 08:27PM MDT,Thu 08:27PM MDT
67,CAL15,A359,Taiwan Taoyuan Int'l,Thu 05:20PM PDT,Fri 08:51PM CST,
68,DAL2302,A319,Seattle-Tacoma Intl,Thu 05:20PM PDT,Thu 07:02PM PDT,Thu 07:02PM PDT
69,ASA387,B737,Portland Intl,Thu 05:18PM PDT,Thu 06:38PM PDT,Thu 06:38PM PDT
70,TCX2865,A332,Manchester,Thu 05:17PM PDT,Fri 10:20AM BST,
71,SKW3374,E75L,John Wayne,Thu 05:17PM PDT,Thu 06:21PM PDT,Thu 06:21PM PDT
72,DAL2777,B712,Los Angeles Intl,Thu 05:12PM PDT,Thu 06:09PM PDT,Thu 06:09PM PDT
73,BAW284,B744,London Heathrow,Thu 05:07PM PDT,Fri 10:06AM BST,
74,SWA5042,B737,Bob Hope,Thu 05:04PM PDT,Thu 05:51PM PDT,Thu 05:51PM PDT
75,SKW5091,CRJ,San Luis County Rgnl,Thu 04:59PM PDT,Thu 05:32PM PDT,Thu 05:32PM PDT
76,ACA750,A320,Toronto Pearson Int'l,Thu 04:59PM PDT,Thu 11:43PM EDT,
77,ASA315,B737,Seattle-Tacoma Intl,Thu 04:58PM PDT,Thu 06:35PM PDT,Thu 06:35PM PDT
78,AAL1047,B738,Chicago O'Hare Intl,Thu 04:57PM PDT,Thu 10:22PM CDT,
